School, Room, Asset, Serial Number, Model, Physical Status, Assignment Status
FHS,None,6543,0UG99FBF600243,Samsung Chromebook,Good,Unassigned
FHS,None,5581,HY3A91TD630514,Samsung Chromebook,Good,Unassigned
FHS,None,6867,HY3A91AF609731,Samsung Chromebook,Good,Unassigned
FHS,None,6632,HY3A91BF608826,Samsung Chromebook,Good,Unassigned
FHS,None,6738,HY3A91AF609241,Samsung Chromebook,Good,Unassigned
FHS,None,6719,HY3A91AF609174,Samsung Chromebook,Good,Unassigned
FHS,None,7083,HY3A91BF608426,Samsung Chromebook,Good,Unassigned
FHS,None,5566,HY3A91ND726842,Samsung Chromebook,Good,Unassigned
FHS,None,5643,HY3A91AF209914,Samsung Chromebook,Good,Unassigned
FHS,None,6672,HY3A91BF608752,Samsung Chromebook,Good,Unassigned
FHS,None,6470,HY3A91BF607601,Samsung Chromebook,Good,Unassigned
FHS,None,6756,HY3A91BF608655,Samsung Chromebook,Good,Unassigned
FHS,None,6858,HY3A91AF609220,Samsung Chromebook,Good,Unassigned
FHS,None,6592,HY3A91AF608588,Samsung Chromebook,Good,Unassigned
FHS,None,6803,0UG99FCF600858,Samsung Chromebook,Good,Unassigned
FHS,None,6630,HY3A91BF608835,Samsung Chromebook,Good,Unassigned
FHS,None,7238,HY3A91BF607440,Samsung Chromebook,Good,Unassigned
FHS,None,6553,HY3A91BF608634,Samsung Chromebook,Good,Unassigned
FHS,None,5124,HY3A91KD746287,Samsung Chromebook,Good,Unassigned
FHS,None,6473,HY3A91BF607729,Samsung Chromebook,Good,Unassigned
FHS,None,2764,HY3A91ND212407,Samsung Chromebook,Good,Unassigned
FHS,None,7289,0UG99FBF703378,Samsung Chromebook,Good,Unassigned
FHS,None,7291,0UG99FBF703395,Samsung Chromebook,Good,Unassigned
FHS,None,5576,HY3A91TD630358,Samsung Chromebook,Good,Unassigned
FHS,None,6426,HY3A91AF609231,Samsung Chromebook,Good,Unassigned
FHS,None,6659,HY3A91AF609252,Samsung Chromebook,Good,Unassigned
FHS,None,5113,HY3A91KD746069,Samsung Chromebook,Good,Unassigned
FHS,None,7034,HY3A91AF609127,Samsung Chromebook,Good,Unassigned
FHS,None,7006,HY3A91BF608964,Samsung Chromebook,Good,Unassigned
FHS,None,7202,HY3A91AF609798,Samsung Chromebook,Good,Unassigned
FHS,None,5167,HY3A91MD754636,Samsung Chromebook,Good,Unassigned
FHS,None,6562,HY3A91BF608705,Samsung Chromebook,Good,Unassigned
FHS,None,7130,HY3A91BF608723,Samsung Chromebook,Good,Unassigned
FHS,None,6347,HY3A91AF221597,Samsung Chromebook,Good,Unassigned
FHS,None,6507,HY3A91BF607240,Samsung Chromebook,Good,Unassigned
FHS,None,5860,HY3A91KD745948,Samsung Chromebook,Good,Unassigned
FHS,None,6181,0UG99FBF333418,Samsung Chromebook,Good,Unassigned
FHS,None,5561,HY3A91MD754349,Samsung Chromebook,Good,Unassigned
FHS,None,6586,HY3A91BF608949,Samsung Chromebook,Good,Unassigned
FHS,None,6833,HY3A91BF608649,Samsung Chromebook,Good,Unassigned
FHS,None,5134,HY3A91KD745945,Samsung Chromebook,Good,Unassigned
FHS,None,7014,HY3A91BF608595,Samsung Chromebook,Good,Unassigned
FHS,None,7275,HY3A91BF708576,Samsung Chromebook,Good,Unassigned
FHS,None,6545,0UG99FBF600212,Samsung Chromebook,Good,Unassigned
FHS,None,6447,HY3A91BF608409,Samsung Chromebook,Good,Unassigned
FHS,None,2795,HY3A91ND212061,Samsung Chromebook,Good,Unassigned
FHS,None,7209,HY3A91BF607341,Samsung Chromebook,Good,Unassigned
FHS,None,6512,HY3A91BF607157,Samsung Chromebook,Good,Unassigned
FHS,None,7122,HY3A91AF608722,Samsung Chromebook,Good,Unassigned
FHS,None,6634,HY3A91BF604917,Samsung Chromebook,Good,Unassigned
FHS,None,6842,HY3A91BF609052,Samsung Chromebook,Good,Unassigned
FHS,None,7118,HY3A91BF608598,Samsung Chromebook,Good,Unassigned
FHS,None,5148,HY3A91JD704524,Samsung Chromebook,Good,Unassigned
FHS,None,2757,HY3A91ND212398,Samsung Chromebook,Good,Unassigned
FHS,None,6539,0UG99FBF602074,Samsung Chromebook,Good,Unassigned
FHS,None,5863,HY3A91KD746173,Samsung Chromebook,Good,Unassigned
FHS,None,7119,HY3A91AF608683,Samsung Chromebook,Good,Unassigned
